round,F1_sentinel,AUC_sentinel,Recall_sentinel,FPR_sentinel,F1_isolated,AUC_isolated,Recall_isolated,FPR_isolated
1,0.4821,0.8901,0.4612,0.0198,0.7103,0.9412,0.6894,0.0089
2,0.5634,0.9201,0.5312,0.0165,0.7891,0.9601,0.7712,0.0063
3,0.6312,0.9389,0.6091,0.0143,0.8101,0.9671,0.7989,0.0051
4,0.6891,0.9498,0.6712,0.0121,0.8287,0.9714,0.8201,0.0044
5,0.7234,0.9561,0.7089,0.0108,0.8391,0.9741,0.8312,0.0041
6,0.7589,0.9614,0.7401,0.0096,0.8478,0.9763,0.8456,0.0039
7,0.7901,0.9672,0.7712,0.0082,0.8534,0.9789,0.8534,0.0038
8,0.8134,0.9721,0.7989,0.0071,0.8601,0.9801,0.8612,0.0037
9,0.8312,0.9798,0.8201,0.0063,0.8678,0.9809,0.8689,0.0037
10,0.8571,0.9842,0.8943,0.0054,0.8753,0.9814,0.8808,0.0037
